Barcelona 1992 Olympics: This countries medal tally was: 0  Gold, 2  Silver, 0  Bronze, 2 in Total`south africa
Atlanta 1996 Olympics: How many BRONZE medals were won by: Ireland`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Finland`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Algeria`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Ethiopia`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Indonesia`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Iran`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Slovakia`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Argentina`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Austria`2
Atlanta 1996 Olympics: How many BRONZE medals were won by: Armenia`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Croatia`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Portugal`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Thailand`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Namibia`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Slovenia`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Malaysia`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Moldova`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Uzbekistan`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Yugoslavia`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Georgia`2
Atlanta 1996 Olympics: How many BRONZE medals were won by: Morocco`2
Atlanta 1996 Olympics: How many BRONZE medals were won by: Trinidad and Tobago`2
Atlanta 1996 Olympics: How many BRONZE medals were won by: Burundi`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Costa Rica`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Ecuador`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Hong Kong, China`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Syria`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Azerbaijan`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Bahamas`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Latvia`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Philippines`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Tonga`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Chinese Taipei`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: Zambia`0
Atlanta 1996 Olympics: How many BRONZE medals were won by: India`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Israel`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Lithuania`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Mexico`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Mongolia`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Mozambique`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Puerto Rico`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Tunisia`1
Atlanta 1996 Olympics: How many BRONZE medals were won by: Uganda`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Unified Team 1992`29
Barcelona 1992 Olympics: How many BRONZE medals were won by: United States of America`36
Barcelona 1992 Olympics: How many BRONZE medals were won by: Germany`27
Barcelona 1992 Olympics: How many BRONZE medals were won by: China`13
Barcelona 1992 Olympics: How many BRONZE medals were won by: Cuba`11
Barcelona 1992 Olympics: How many BRONZE medals were won by: Hungary`7
Barcelona 1992 Olympics: How many BRONZE medals were won by: France`16
Barcelona 1992 Olympics: How many BRONZE medals were won by: South Korea`11
Barcelona 1992 Olympics: How many BRONZE medals were won by: Australia`10
Barcelona 1992 Olympics: How many BRONZE medals were won by: Spain`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Great Britain`12
Barcelona 1992 Olympics: How many BRONZE medals were won by: Japan`9
Barcelona 1992 Olympics: How many BRONZE medals were won by: Italy`8
Barcelona 1992 Olympics: How many BRONZE medals were won by: Poland`8
Barcelona 1992 Olympics: How many BRONZE medals were won by: Canada`7
Barcelona 1992 Olympics: How many BRONZE medals were won by: Romania`8
Barcelona 1992 Olympics: How many BRONZE medals were won by: The Netherlands`7
Barcelona 1992 Olympics: How many BRONZE medals were won by: Bulgaria`6
Barcelona 1992 Olympics: How many BRONZE medals were won by: Sweden`4
Barcelona 1992 Olympics: How many BRONZE medals were won by: New Zealand`5
Barcelona 1992 Olympics: How many BRONZE medals were won by: North Korea`5
Barcelona 1992 Olympics: How many BRONZE medals were won by: Kenya`2
Barcelona 1992 Olympics: How many BRONZE medals were won by: Norway`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Czechoslovakia`0
Barcelona 1992 Olympics: How many BRONZE medals were won by: Turkey`2
Barcelona 1992 Olympics: How many BRONZE medals were won by: Denmark`4
Barcelona 1992 Olympics: How many BRONZE medals were won by: Indonesia`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Finland`2
Barcelona 1992 Olympics: How many BRONZE medals were won by: Jamaica`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Nigeria`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Brazil`0
Barcelona 1992 Olympics: How many BRONZE medals were won by: Morocco`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Ethiopia`2
Barcelona 1992 Olympics: How many BRONZE medals were won by: Latvia`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Belgium`2
Barcelona 1992 Olympics: How many BRONZE medals were won by: Croatia`2
Barcelona 1992 Olympics: How many BRONZE medals were won by: Iran`2
Barcelona 1992 Olympics: How many BRONZE medals were won by: Greece`0
Barcelona 1992 Olympics: How many BRONZE medals were won by: Ireland`0
Barcelona 1992 Olympics: How many BRONZE medals were won by: Algeria`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Estonia`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Lithuania`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Austria`0
Barcelona 1992 Olympics: How many BRONZE medals were won by: Namibia`0
Barcelona 1992 Olympics: How many BRONZE medals were won by: South Africa`0
Barcelona 1992 Olympics: How many BRONZE medals were won by: Israel`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Yugoslavia`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Slovenia`2
Barcelona 1992 Olympics: How many BRONZE medals were won by: Switzerland`0
Barcelona 1992 Olympics: How many BRONZE medals were won by: Mexico`0
Barcelona 1992 Olympics: How many BRONZE medals were won by: Peru`0
Barcelona 1992 Olympics: How many BRONZE medals were won by: Chinese Taipei`0
Barcelona 1992 Olympics: How many BRONZE medals were won by: Argentina`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Bahamas`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Colombia`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Ghana`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Malaysia`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Mongolia`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Pakistan`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Philippines`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Puerto Rico`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Qatar`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Suriname`1
Barcelona 1992 Olympics: How many BRONZE medals were won by: Thailand`1
Seoul 1988 Olympics: How many BRONZE medals were won by: USSR`46
Seoul 1988 Olympics: How many BRONZE medals were won by: East Germany`30
Seoul 1988 Olympics: How many BRONZE medals were won by: United States`27
Seoul 1988 Olympics: How many BRONZE medals were won by: West Germany`15
Seoul 1988 Olympics: How many BRONZE medals were won by: Bulgaria`13
Seoul 1988 Olympics: How many BRONZE medals were won by: South Korea`11
Seoul 1988 Olympics: How many BRONZE medals were won by: China`12
Seoul 1988 Olympics: How many BRONZE medals were won by: Romania`6
Seoul 1988 Olympics: How many BRONZE medals were won by: Great Britain`9
Seoul 1988 Olympics: How many BRONZE medals were won by: Hungary`6
Seoul 1988 Olympics: How many BRONZE medals were won by: France`6
Seoul 1988 Olympics: How many BRONZE medals were won by: Poland`9
Seoul 1988 Olympics: How many BRONZE medals were won by: Italy`4
Seoul 1988 Olympics: How many BRONZE medals were won by: Australia`5
Seoul 1988 Olympics: How many BRONZE medals were won by: Japan`7
Seoul 1988 Olympics: How many BRONZE medals were won by: New Zealand`8
Seoul 1988 Olympics: How many BRONZE medals were won by: Yugoslavia`5
Seoul 1988 Olympics: How many BRONZE medals were won by: Sweden`7
Seoul 1988 Olympics: How many BRONZE medals were won by: Canada`5
Seoul 1988 Olympics: How many BRONZE medals were won by: Kenya`2
Seoul 1988 Olympics: How many BRONZE medals were won by: Netherlands`5
Seoul 1988 Olympics: How many BRONZE medals were won by: Czechoslovakia`2
Seoul 1988 Olympics: How many BRONZE medals were won by: Brazil`3
Seoul 1988 Olympics: How many BRONZE medals were won by: Norway`0
Seoul 1988 Olympics: How many BRONZE medals were won by: Denmark`1
Seoul 1988 Olympics: How many BRONZE medals were won by: Finland`2
Seoul 1988 Olympics: How many BRONZE medals were won by: Spain`2
Seoul 1988 Olympics: How many BRONZE medals were won by: Switzerland`2
Seoul 1988 Olympics: How many BRONZE medals were won by: Morocco`2
Seoul 1988 Olympics: How many BRONZE medals were won by: Turkey`0
Seoul 1988 Olympics: How many BRONZE medals were won by: Jamaica`0
Seoul 1988 Olympics: How many BRONZE medals were won by: Argentina`1
Seoul 1988 Olympics: How many BRONZE medals were won by: Belgium`2
Seoul 1988 Olympics: How many BRONZE medals were won by: Mexico`2
Seoul 1988 Olympics: How many BRONZE medals were won by: Austria`0
Seoul 1988 Olympics: How many BRONZE medals were won by: Portugal`0
Seoul 1988 Olympics: How many BRONZE medals were won by: Suriname`0
Seoul 1988 Olympics: How many BRONZE medals were won by: Chile`0
Seoul 1988 Olympics: How many BRONZE medals were won by: Costa Rica`0
Seoul 1988 Olympics: How many BRONZE medals were won by: Indonesia`0
Seoul 1988 Olympics: How many BRONZE medals were won by: Iran`0
Seoul 1988 Olympics: How many BRONZE medals were won by: Netherland Antilles`0
Seoul 1988 Olympics: How many BRONZE medals were won by: Peru`0
Seoul 1988 Olympics: How many BRONZE medals were won by: Senegal`0
Seoul 1988 Olympics: How many BRONZE medals were won by: Virgin Islands`0
Seoul 1988 Olympics: How many BRONZE medals were won by: Colombia`1
Seoul 1988 Olympics: How many BRONZE medals were won by: Djibouti`1
Seoul 1988 Olympics: How many BRONZE medals were won by: Greece`1
Seoul 1988 Olympics: How many BRONZE medals were won by: Mongolia`1
Seoul 1988 Olympics: How many BRONZE medals were won by: Pakistan`1
Seoul 1988 Olympics: How many BRONZE medals were won by: Philippines`1
Seoul 1988 Olympics: How many BRONZE medals were won by: Thailand`1
Los Angeles 1984 Olympics: How many BRONZE medals were won by: United States`30
Los Angeles 1984 Olympics: How many BRONZE medals were won by: West Germany`23
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Romania`17
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Canada`16
Los Angeles 1984 Olympics: How many BRONZE medals were won by: China`9
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Italy`12
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Japan`14
Los Angeles 1984 Olympics: How many BRONZE medals were won by: France`15
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Australia`12
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Great Britain`7
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Sweden`6
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Yugoslavia`7
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Netherlands`6
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Finland`6
Los Angeles 1984 Olympics: How many BRONZE medals were won by: New Zealand`2
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Brazil`2
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Switzerland`4
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Mexico`1
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Denmark`3
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Spain`2
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Belgium`2
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Austria`1
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Portugal`2
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Jamaica`2
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Norway`2
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Turkey`3
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Venezuela`3
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Morocco`0
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Kenya`1
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Greece`1
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Nigeria`1
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Puerto Rico`1
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Algeria`2
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Pakistan`0
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Colombia`0
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Egypt`0
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Ireland`0
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Ivory Coast`0
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Peru`0
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Syria`0
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Thailand`0
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Cameroon`1
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Dominic Republic`1
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Iceland`1
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Taiwan`1
Los Angeles 1984 Olympics: How many BRONZE medals were won by: Zambia`1
Moscow 1980 Olympics: How many BRONZE medals were won by: Soviet Union`46
Moscow 1980 Olympics: How many BRONZE medals were won by: East Germany`42
Moscow 1980 Olympics: How many BRONZE medals were won by: Bulgaria`17
Moscow 1980 Olympics: How many BRONZE medals were won by: Hungary`15
Moscow 1980 Olympics: How many BRONZE medals were won by: Poland`15
Moscow 1980 Olympics: How many BRONZE medals were won by: Romania`13
Moscow 1980 Olympics: How many BRONZE medals were won by: Great Britain`9
Moscow 1980 Olympics: How many BRONZE medals were won by: Cuba`5
Moscow 1980 Olympics: How many BRONZE medals were won by: Italy`4
Moscow 1980 Olympics: How many BRONZE medals were won by: France`3
Moscow 1980 Olympics: How many BRONZE medals were won by: Czechoslovakia`9
Moscow 1980 Olympics: How many BRONZE medals were won by: Sweden`6
Moscow 1980 Olympics: How many BRONZE medals were won by: Yugoslavia`4
Moscow 1980 Olympics: How many BRONZE medals were won by: Australia`5
Moscow 1980 Olympics: How many BRONZE medals were won by: Finland`4
Moscow 1980 Olympics: How many BRONZE medals were won by: Spain`2
Moscow 1980 Olympics: How many BRONZE medals were won by: Denmark`2
Moscow 1980 Olympics: How many BRONZE medals were won by: North Korea`2
Moscow 1980 Olympics: How many BRONZE medals were won by: Brazil`2
Moscow 1980 Olympics: How many BRONZE medals were won by: Ethiopia`2
Moscow 1980 Olympics: How many BRONZE medals were won by: Austria`1
Moscow 1980 Olympics: How many BRONZE medals were won by: Monaco`2
Moscow 1980 Olympics: How many BRONZE medals were won by: Mexico`3
Moscow 1980 Olympics: How many BRONZE medals were won by: Greece`2
Moscow 1980 Olympics: How many BRONZE medals were won by: Netherlands`2
Moscow 1980 Olympics: How many BRONZE medals were won by: Jamaica`3
Moscow 1980 Olympics: How many BRONZE medals were won by: Switzerland`0
Moscow 1980 Olympics: How many BRONZE medals were won by: Tanzania`0
Moscow 1980 Olympics: How many BRONZE medals were won by: Ireland`1
Moscow 1980 Olympics: How many BRONZE medals were won by: India`0
Moscow 1980 Olympics: How many BRONZE medals were won by: Belgium`0
Moscow 1980 Olympics: How many BRONZE medals were won by: Zimbabwe`0
Moscow 1980 Olympics: How many BRONZE medals were won by: Uganda`0
Moscow 1980 Olympics: How many BRONZE medals were won by: Venezuela`0
Moscow 1980 Olympics: How many BRONZE medals were won by: Guyana`1
Moscow 1980 Olympics: How many BRONZE medals were won by: Lebanon`1
Montreal 1976 Olympics: How many BRONZE medals were won by: Soviet Union`35
Montreal 1976 Olympics: How many BRONZE medals were won by: United States`25
Montreal 1976 Olympics: How many BRONZE medals were won by: East Germany`25
Montreal 1976 Olympics: How many BRONZE medals were won by: West Germany`17
Montreal 1976 Olympics: How many BRONZE medals were won by: Romania`14
Montreal 1976 Olympics: How many BRONZE medals were won by: Poland`13
Montreal 1976 Olympics: How many BRONZE medals were won by: Japan`10
Montreal 1976 Olympics: How many BRONZE medals were won by: Bulgaria`7
Montreal 1976 Olympics: How many BRONZE medals were won by: Hungary`13
Montreal 1976 Olympics: How many BRONZE medals were won by: Cuba`3
Montreal 1976 Olympics: How many BRONZE medals were won by: Great Britain`5
Montreal 1976 Olympics: How many BRONZE medals were won by: Italy`4
Montreal 1976 Olympics: How many BRONZE medals were won by: Canada`6
Montreal 1976 Olympics: How many BRONZE medals were won by: France`4
Montreal 1976 Olympics: How many BRONZE medals were won by: Yugoslavia`3
Montreal 1976 Olympics: How many BRONZE medals were won by: Czechoslovakia`4
Montreal 1976 Olympics: How many BRONZE medals were won by: Finland`0
Montreal 1976 Olympics: How many BRONZE medals were won by: South Korea`4
Montreal 1976 Olympics: How many BRONZE medals were won by: Belgium`3
Montreal 1976 Olympics: How many BRONZE medals were won by: Sweden`0
Montreal 1976 Olympics: How many BRONZE medals were won by: Netherlands`3
Montreal 1976 Olympics: How many BRONZE medals were won by: Australia`4
Montreal 1976 Olympics: How many BRONZE medals were won by: New Zealand`1
Montreal 1976 Olympics: How many BRONZE medals were won by: Switzerland`2
Montreal 1976 Olympics: How many BRONZE medals were won by: Denmark`2
Montreal 1976 Olympics: How many BRONZE medals were won by: Jamaica`0
Montreal 1976 Olympics: How many BRONZE medals were won by: North Korea`0
Montreal 1976 Olympics: How many BRONZE medals were won by: Norway`0
Montreal 1976 Olympics: How many BRONZE medals were won by: Mexico`1
Montreal 1976 Olympics: How many BRONZE medals were won by: Portugal`0
Montreal 1976 Olympics: How many BRONZE medals were won by: Spain`0
Montreal 1976 Olympics: How many BRONZE medals were won by: Iran`1
Montreal 1976 Olympics: How many BRONZE medals were won by: Brazil`2
Montreal 1976 Olympics: How many BRONZE medals were won by: Trinidad`0
Montreal 1976 Olympics: How many BRONZE medals were won by: Monaco`0
Montreal 1976 Olympics: How many BRONZE medals were won by: Venezuela`0
Montreal 1976 Olympics: How many BRONZE medals were won by: Austria`1
Montreal 1976 Olympics: How many BRONZE medals were won by: Puerto Rico`1
Montreal 1976 Olympics: How many BRONZE medals were won by: Bermuda`1
Montreal 1976 Olympics: How many BRONZE medals were won by: Pakistan`1
Montreal 1976 Olympics: How many BRONZE medals were won by: Thailand`1
Sydney 2000 Olympics: How many SILVER medals were won by: United States of America`24
Sydney 2000 Olympics: How many SILVER medals were won by: Russia`28
Sydney 2000 Olympics: How many SILVER medals were won by: China`16
Sydney 2000 Olympics: How many SILVER medals were won by: Australia`25
Sydney 2000 Olympics: How many SILVER medals were won by: Germany`17
Sydney 2000 Olympics: How many SILVER medals were won by: France`14
Sydney 2000 Olympics: How many SILVER medals were won by: Italy`8
Sydney 2000 Olympics: How many SILVER medals were won by: Netherlands`9
Sydney 2000 Olympics: How many SILVER medals were won by: Cuba`11
Sydney 2000 Olympics: How many SILVER medals were won by: Great Britain`10
Sydney 2000 Olympics: How many SILVER medals were won by: Romania`6
Sydney 2000 Olympics: How many SILVER medals were won by: South Korea`10
Sydney 2000 Olympics: How many SILVER medals were won by: Hungary`6
Sydney 2000 Olympics: How many SILVER medals were won by: Poland`5
Sydney 2000 Olympics: How many SILVER medals were won by: Japan`8
Sydney 2000 Olympics: How many SILVER medals were won by: Bulgaria`6
Sydney 2000 Olympics: How many SILVER medals were won by: Greece`6
Sydney 2000 Olympics: How many SILVER medals were won by: Sweden`5
Sydney 2000 Olympics: How many SILVER medals were won by: Norway`3
Sydney 2000 Olympics: How many SILVER medals were won by: Ethiopia`1
Sydney 2000 Olympics: How many SILVER medals were won by: Ukraine`10
Sydney 2000 Olympics: How many SILVER medals were won by: Belarus`3
Sydney 2000 Olympics: How many SILVER medals were won by: Kazakhstan`4
Sydney 2000 Olympics: How many SILVER medals were won by: Canada`3
Sydney 2000 Olympics: How many SILVER medals were won by: Spain`3
Sydney 2000 Olympics: How many SILVER medals were won by: Turkey`0
Sydney 2000 Olympics: How many SILVER medals were won by: Iran`0
Sydney 2000 Olympics: How many SILVER medals were won by: Czech Republic`3
Sydney 2000 Olympics: How many SILVER medals were won by: Kenya`3
Sydney 2000 Olympics: How many SILVER medals were won by: Denmark`3
Sydney 2000 Olympics: How many SILVER medals were won by: Finland`1
Sydney 2000 Olympics: How many SILVER medals were won by: Austria`1
Sydney 2000 Olympics: How many SILVER medals were won by: Lithuania`0
Sydney 2000 Olympics: How many SILVER medals were won by: Azerbaijan`0
Sydney 2000 Olympics: How many SILVER medals were won by: Slovenia`0
Sydney 2000 Olympics: How many SILVER medals were won by: Switzerland`6
Sydney 2000 Olympics: How many SILVER medals were won by: Indonesia`3
Sydney 2000 Olympics: How many SILVER medals were won by: Slovakia`3
Sydney 2000 Olympics: How many SILVER medals were won by: Mexico`2
Sydney 2000 Olympics: How many SILVER medals were won by: Algeria`1
Sydney 2000 Olympics: How many SILVER medals were won by: Uzbekistan`1
Sydney 2000 Olympics: How many SILVER medals were won by: Yugoslavia`1
Sydney 2000 Olympics: How many SILVER medals were won by: Latvia`1
Sydney 2000 Olympics: How many SILVER medals were won by: Bahamas`1
Sydney 2000 Olympics: How many SILVER medals were won by: New Zealand`0
Sydney 2000 Olympics: How many SILVER medals were won by: Thailand`0
Sydney 2000 Olympics: How many SILVER medals were won by: Estonia`0
Sydney 2000 Olympics: How many SILVER medals were won by: Croatia`0
Sydney 2000 Olympics: How many SILVER medals were won by: Cameroon`0
Sydney 2000 Olympics: How many SILVER medals were won by: Colombia`0
Sydney 2000 Olympics: How many SILVER medals were won by: Mozambique`0
Sydney 2000 Olympics: How many SILVER medals were won by: Brazil`6
Sydney 2000 Olympics: How many SILVER medals were won by: Jamaica`4
Sydney 2000 Olympics: How many SILVER medals were won by: Nigeria`3
Sydney 2000 Olympics: How many SILVER medals were won by: Belgium`2
Sydney 2000 Olympics: How many SILVER medals were won by: South Africa`2
Sydney 2000 Olympics: How many SILVER medals were won by: Argentina`2
Sydney 2000 Olympics: How many SILVER medals were won by: Taiwan/Republic of China`1
Sydney 2000 Olympics: How many SILVER medals were won by: Morocco`1
Sydney 2000 Olympics: How many SILVER medals were won by: North Korea`1
Sydney 2000 Olympics: How many SILVER medals were won by: Trinidad and Tobago`1
Sydney 2000 Olympics: How many SILVER medals were won by: Moldova`1
Sydney 2000 Olympics: How many SILVER medals were won by: Saudi Arabia`1
Sydney 2000 Olympics: How many SILVER medals were won by: Ireland`1
Sydney 2000 Olympics: How many SILVER medals were won by: Uruguay`1
Sydney 2000 Olympics: How many SILVER medals were won by: Vietnam`1
Sydney 2000 Olympics: How many SILVER medals were won by: Georgia`0
Sydney 2000 Olympics: How many SILVER medals were won by: Portugal`0
Sydney 2000 Olympics: How many SILVER medals were won by: Costa Rica`0
Sydney 2000 Olympics: How many SILVER medals were won by: Sri Lanka`0
Sydney 2000 Olympics: How many SILVER medals were won by: India`0
Sydney 2000 Olympics: How many SILVER medals were won by: Qatar`0
Sydney 2000 Olympics: How many SILVER medals were won by: Kuwait`0
Sydney 2000 Olympics: How many SILVER medals were won by: Armenia`0
Sydney 2000 Olympics: How many SILVER medals were won by: Barbados`0
Sydney 2000 Olympics: How many SILVER medals were won by: Macedonia`0
Sydney 2000 Olympics: How many SILVER medals were won by: Chile`0
Sydney 2000 Olympics: How many SILVER medals were won by: Iceland`0
Sydney 2000 Olympics: How many SILVER medals were won by: Israel`0
Sydney 2000 Olympics: How many SILVER medals were won by: Kyrgyzstan`0
Atlanta 1996 Olympics: How many SILVER medals were won by: United States of America`31
Atlanta 1996 Olympics: How many SILVER medals were won by: Germany`17
Atlanta 1996 Olympics: How many SILVER medals were won by: Russia`20
Atlanta 1996 Olympics: How many SILVER medals were won by: China`20
Atlanta 1996 Olympics: How many SILVER medals were won by: Australia`9
Atlanta 1996 Olympics: How many SILVER medals were won by: Italy`10
Atlanta 1996 Olympics: How many SILVER medals were won by: France`6
Atlanta 1996 Olympics: How many SILVER medals were won by: South Korea`15
Atlanta 1996 Olympics: How many SILVER medals were won by: Cuba`8
Atlanta 1996 Olympics: How many SILVER medals were won by: Ukraine`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Canada`11
Atlanta 1996 Olympics: How many SILVER medals were won by: Hungary`3
Atlanta 1996 Olympics: How many SILVER medals were won by: Romania`6
Atlanta 1996 Olympics: How many SILVER medals were won by: The Netherlands`3
Atlanta 1996 Olympics: How many SILVER medals were won by: Brazil`3
Atlanta 1996 Olympics: How many SILVER medals were won by: Belarus`6
Atlanta 1996 Olympics: How many SILVER medals were won by: Poland`5
Atlanta 1996 Olympics: How many SILVER medals were won by: Spain`4
Atlanta 1996 Olympics: How many SILVER medals were won by: Bulgaria`6
Atlanta 1996 Olympics: How many SILVER medals were won by: Japan`6
Atlanta 1996 Olympics: How many SILVER medals were won by: Great Britain`8
Atlanta 1996 Olympics: How many SILVER medals were won by: Kazakhstan`4
Atlanta 1996 Olympics: How many SILVER medals were won by: Czech Republic`3
Atlanta 1996 Olympics: How many SILVER medals were won by: Greece`4
Atlanta 1996 Olympics: How many SILVER medals were won by: Sweden`4
Atlanta 1996 Olympics: How many SILVER medals were won by: Kenya`4
Atlanta 1996 Olympics: How many SILVER medals were won by: Denmark`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Turkey`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Switzerland`3
Atlanta 1996 Olympics: How many SILVER medals were won by: New Zealand`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Belgium`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Norway`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Nigeria`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Jamaica`3
Atlanta 1996 Olympics: How many SILVER medals were won by: South Africa`1
Atlanta 1996 Olympics: How many SILVER medals were won by: North Korea`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Ireland`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Finland`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Algeria`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Ethiopia`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Indonesia`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Iran`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Slovakia`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Argentina`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Austria`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Armenia`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Croatia`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Portugal`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Thailand`0
Atlanta 1996 Olympics: How many SILVER medals were won by: Namibia`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Slovenia`2
Atlanta 1996 Olympics: How many SILVER medals were won by: Malaysia`1
Atlanta 1996 Olympics: How many SILVER medals were won by: Moldova`1
